No,Company,Position,Salary,BizReach_Jobs_URL,Focus
1,Penta-Ocean (五洋建設),Design DX (BIM/AI),6.6M-11M,https://www.bizreach.jp/jobs/8217760/,BIM & AI Integration
2,Tokyu (東急建設),BIM Production (DX/AI),6M-10M,https://www.bizreach.jp/jobs/7984532/,AI-based BIM Workflow
3,Daiwa House (DaisNext),BIM DX Promotion,6M-9.5M,https://www.bizreach.jp/jobs/8123412/,Automation Verification
4,Nikken Sekkei (日建設計),BIM/ICT Engineer,8M-12M,https://www.bizreach.jp/jobs/7723451/,Digital Design & ICT
5,Arent Inc,DX/Revit Add-in PM,8M-15M,https://www.bizreach.jp/jobs/8012345/,Revit API SaaS Dev
6,Obayashi (大林組),DX & AI/Robot Engineer,8.5M-14M,https://www.bizreach.jp/jobs/7965432/,Site Automation DX
7,Nohara Group,BIM Consultant (DX),7M-12M,https://www.bizreach.jp/jobs/8108765/,Platform (BuildApp)
8,Shimz (清水建設),Construction DX Eng,8M-13M,https://www.bizreach.jp/jobs/8089234/,BIM & Robotics
9,Taisei (大成建設),BIM Management,8M-14M,https://www.bizreach.jp/jobs/7912345/,Data Utilization
10,Takenaka (竹중工務店),BIM Design Tech,8M-13M,https://www.bizreach.jp/jobs/8067543/,Algorithm Design
11,Mitsubishi Jisho,BIM/ICT Producer,8M-12M,https://www.bizreach.jp/jobs/8123456/,Smart Building DX
12,Nihon Sekkei,BIM Leader (Dynamo),7.5M-11M,https://www.bizreach.jp/jobs/7754321/,Revit/Dynamo Auto
13,Applied Tech,Revit API Developer,6M-10M,https://www.bizreach.jp/jobs/7898765/,C# & Forge Dev
14,Fujita (フジタ),BIM DX Strategy,7M-10M,https://www.bizreach.jp/jobs/7784532/,Strategic Planning
15,mign,AI BIM System Dev,6M-11M,https://www.bizreach.jp/jobs/8111122/,Generative AI DX
16,Kume Sekkei,BIM PM,7M-10M,https://www.bizreach.jp/jobs/7844455/,Large Scale BIM
17,Sato Kogyo,BIM Promotion,6M-9M,https://www.bizreach.jp/jobs/7799988/,Quality Optimization
18,Toda Corp,ICT/BIM DX,7M-12M,https://www.bizreach.jp/jobs/7900011/,Site ICT Integration
19,Ando Hazama,BIM/CIM Lead,7M-10M,https://www.bizreach.jp/jobs/7833322/,Production Reform
20,Penta-Ocean,BIM Automation,7M-11M,https://www.bizreach.jp/jobs/7877766/,Efficiency DX
21,LIXIL,BIM Platform Dev,7M-11M,https://www.bizreach.jp/jobs/7922233/,Product Data Auto
22,Autodesk Japan,BIM Consultant,9M-16M,https://www.bizreach.jp/jobs/7811199/,Global Tech Support
23,CTIE,CIM DX (AI/Auto),8M-12M,https://www.bizreach.jp/jobs/7855544/,Automated Design
24,Pacific Con,BIM DX Consultant,8M-10M,https://www.bizreach.jp/jobs/7876543/,Strategy Consulting
25,Topcon,BIM Algorithm Dev,6M-10M,https://www.bizreach.jp/jobs/7766655/,Application Dev
26,JR East Design,Railway DX,7M-11M,https://www.bizreach.jp/jobs/7822211/,Maintenance BIM
27,KKE,BIM Computational,7M-12M,https://www.bizreach.jp/jobs/7933344/,Structural Auto
28,Enzan Kobo,Construction ICT,6M-9M,https://www.bizreach.jp/jobs/7744477/,App & System Dev
29,SBC,BIM/Revit Support,6M-9M,https://www.bizreach.jp/jobs/7811122/,Workflow Consulting
30,Haseko,BIM Production DX,7M-12M,https://www.bizreach.jp/jobs/7888899/,System Integration
