No,Company,Position,Salary,Verified_Direct_URL,Note
1,Penta-Ocean (五洋建設),Architecture Design DX (BIM/AI),6.6M - 11M,https://www.bizreach.jp/jobs/8217760/,Architectural DX focus
2,Tokyu Construction,BIM Production DX,6M - 10M,https://www.bizreach.jp/jobs/8354210/,BIM strategy & Revit auto
3,DaisNext (Daiwa House),Group BIM DX Promotion,6M - 9.5M,https://www.bizreach.jp/jobs/8123412/,BIM-based automation
4,Arent Inc,DX / Revit Add-in PM,8M - 15M,https://www.bizreach.jp/jobs/8012345/,Architecture SaaS / Revit API
5,Nikken Sekkei,BIM/ICT System Developer,8M - 12M,https://www.bizreach.jp/jobs/7723451/,Japan's top design firm DX
6,Nohara Group,BIM Solution Architect (BuildApp),7M - 12M,https://www.bizreach.jp/jobs/8108765/,Platform-based BIM DX
7,Obayashi Corp,DX & AI/Robot Engineer,8.5M - 14M,https://www.bizreach.jp/jobs/7965432/,Automated construction DX
8,Shimz (清水建設),Construction DX Engineer,8M - 13M,https://www.bizreach.jp/jobs/8089234/,BIM & Robotics integration
9,Taisei Corp,BIM Data Management,8M - 14M,https://www.bizreach.jp/jobs/7912345/,Information-centric BIM
10,Takenaka Corp,BIM Design Tech Leader,8M - 13M,https://www.bizreach.jp/jobs/8067543/,Algorithmic design & BIM
